,Disaster_Type,Location,Total_Affected
0,Flood,Andhra Pradesh,42000000
1,Flood,Bihar,24600000
2,Flood,Assam,23220000
3,Flood,Andhra Pradesh,22000000
4,Flood,Goa,20000055
5,Storm,Odisha,20000000
6,Flood,Assam,18700000
7,Storm,Odisha,18000000
8,Flood,Bihar,17200000
9,Flood,Assam,13709887
10,Storm,Andhra Pradesh,13230000
11,Flood,Arunachal Pradesh,11100000
12,Flood,Assam,10250000
13,Flood,Chhattisgarh,9670000
14,Flood,Gujarat,8007173
15,Flood,Arunachal Pradesh,7900000
16,Flood,West Bengal,7200000
17,Flood,Bihar,7000000
18,Flood,Assam,5549080
19,Storm,West Bengal,5100000
20,Flood,Assam,4550000
21,Storm,Tamil Nadu,4390000
22,Flood,Andhra Pradesh,4100000
23,Flood,Andhra Pradesh,4000065
24,Storm,Odisha,3810012
25,Flood,Odisha,3600000
26,Flood,Bihar,3267183
27,Flood,Arunachal Pradesh,3000000
28,Flood,Assam,3000000
29,Flood,Uttar Pradesh,2700000
30,Flood,Assam,2600000
31,Flood,Himachal Pradesh,2400000
32,Flood,West Bengal,2250000
33,Flood,Arunachal Pradesh,2200000
34,Storm,Assam,2109643
35,Flood,Andhra Pradesh,2000000
36,Flood,Andhra Pradesh,2000000
37,Flood,Assam,2000000
38,Flood,Arunachal Pradesh,2000000
39,Flood,Assam,2000000
40,Flood,Arunachal Pradesh,1908000
41,Flood,Andhra Pradesh,1801000
42,Flood,Assam,1735000
43,Flood,Tripura,1700000
44,Storm,Odisha,1625000
45,Flood,Uttar Pradesh,1600000
46,Flood,Arunachal Pradesh,1441247
47,Flood,Assam,1301260
48,Flood,Assam,1000020
49,Storm,Andhra Pradesh,920000
50,Flood,Gujarat,850000
51,Flood,Tamil Nadu,803740
52,Flood,Uttar Pradesh,800000
53,Flood,Assam,787000
54,Storm,Goa,700153
55,Flood,Assam,700000
56,Flood,West Bengal,700000
57,Earthquake,Andhra Pradesh,654512
58,Flood,Assam,650000
59,Earthquake,Assam,575200
60,Flood,Chhattisgarh,550000
61,Flood,West Bengal,534035
62,Flood,Bihar,504473
63,Flood,Assam,504000
64,Flood,Assam,500000
65,Storm,Assam,500000
66,Storm,Tamil Nadu,500000
67,Flood,Uttar Pradesh,500000
68,Flood,Assam,500000
69,Storm,West Bengal,485910
70,Flood,Gujarat,405000
71,Flood,Haryana,400000
72,Flood,Goa,375000
73,Flood,Andhra Pradesh,375000
74,Storm,Andhra Pradesh,300200
75,Flood,Uttar Pradesh,300000
76,Flood,Andhra Pradesh,252016
77,Storm,Tamil Nadu,250000
78,Flood,Andhra Pradesh,225000
79,Flood,Assam,225000
80,Flood,Tamil Nadu,200000
81,Flood,Assam,200000
82,Flood,Andhra Pradesh,200000
83,Flood,Rajasthan,200000
84,Storm,Andhra Pradesh,179000
85,Flashflood,Assam,155850
86,Storm,Andhra Pradesh,150300
87,Flood,Andhra Pradesh,150000
88,Storm,Assam,130000
89,Storm,Bihar,125100
90,Flood,Andhra Pradesh,100000
91,Flood,Uttar Pradesh,100000
92,Flood,Arunachal Pradesh,100000
93,Flood,Madhya Pradesh,100000
94,Flood,Arunachal Pradesh,100000
95,Flood,Gujarat,100000
96,Flood,Assam,100000
97,Storm,Assam,95000
98,Glacial lake outburst flood,Sikkim,88400
99,Flood,Arunachal Pradesh,85250
100,Flood,Himachal Pradesh,80074
101,Storm,Manipur,77000
102,Flood,Andhra Pradesh,74500
103,Storm,Andhra Pradesh,70000
104,Flood,Gujarat,63000
105,Storm,Andhra Pradesh,61000
106,Storm,West Bengal,60020
107,Storm,Andhra Pradesh,60000
108,Flood,Chhattisgarh,50000
109,Flood,Andhra Pradesh,50000
110,Flood,Assam,50000
111,Flood,Andhra Pradesh,50000
112,Flood,Madhya Pradesh,49000
113,Flood,Odisha,41430
114,Flood,Kerala,40000
115,Storm,Andhra Pradesh,40000
116,Flood,Assam,40000
117,Flood,Arunachal Pradesh,37500
118,Flood,Kerala,35000
119,Storm,Gujarat,33584
120,Flood,Assam,30002
121,Storm,Andhra Pradesh,30000
122,Flood,Assam,30000
123,Flood,Karnataka,27500
124,Flood,Assam,25000
125,Flood,Tamil Nadu,25000
126,Storm,Himachal Pradesh,22932
127,Storm,Tripura,21000
128,Flood,Rajasthan,20000
129,Flood,Andhra Pradesh,20000
130,Flood,Assam,18500
131,Flood,Assam,18000
132,Flood,Kerala,17500
133,Flood,Himachal Pradesh,15000
134,Flood,Gujarat,14500
135,Flood,Haryana,12500
136,Flood,Tripura,11728
137,Flood,Assam,11000
138,Flood,Tamil Nadu,11000
139,Earthquake,Assam,10808
140,Flood,Kerala,10800
141,Flood,Karnataka,10278
